date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:59	144/144	---M-Z	200	added ('OK')	text/plain	etag:%222c0033-130-41a7982c29d80%22	http://www.geomundus.org/robots.txt		(from )
13:06:00	28163/28163	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:00%20GMT	http://www.geomundus.org/	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index-2.html	(from )
13:06:00	822/822	---M--	200	added ('OK')	image/x-icon	etag:%2255409f-336-4c2fa252a8a00%22	http://www.geomundus.org/templates/ja_purity/favicon.ico	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/favicon.ico	(from )
13:06:00	9602/9602	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2005%20Jun%202013%2011:06:00%20GMT	http://www.geomundus.org/index.php?format=feed&type=rss	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/indexc0d0.php	(from )
13:06:01	551/551	---M--	200	added ('OK')	text/css	etag:%2253401c-227-4c4f852260700%22	http://www.geomundus.org/modules/mod_vvisit_counter/css/mod_vvisit_counter.css	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/modules/mod_vvisit_counter/css/mod_vvisit_counter.css	(from )
13:06:01	1385/1385	---M--	200	added ('OK')	text/css	etag:%227b837e-569-46c5333069f40%22	http://www.geomundus.org/templates/system/css/system.css	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/system/css/system.css	(from )
13:06:01	1963/1963	---M--	200	added ('OK')	application/javascript	etag:%22124005-7ab-4801d2f406980%22	http://www.geomundus.org/media/system/js/caption.js	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/media/system/js/caption.js	(from )
13:06:02	2777/2777	---M--	200	added ('OK')	text/css	etag:%227b8375-ad9-4801d2f406980%22	http://www.geomundus.org/templates/system/css/general.css	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/system/css/general.css	(from )
13:06:02	28295/28295	---M--	200	added ('OK')	text/css	etag:%227b8219-6e87-4c48974ae8280%22	http://www.geomundus.org/templates/ja_purity/css/template.css	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/css/template.css	(from )
13:06:02	19224/19224	---MC-	200	added ('OK')	application/atom+xml	date:Wed,%2005%20Jun%202013%2011:06:00%20GMT	http://www.geomundus.org/index.php?format=feed&type=atom	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index7b17.php	(from )
13:06:02	3207/3207	---M--	200	added ('OK')	application/javascript	etag:%227b8223-c87-454f586e94d80%22	http://www.geomundus.org/templates/ja_purity/js/ja.script.js	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/js/ja.script.js	(from )
13:06:02	1695/1695	---M--	200	added ('OK')	application/javascript	etag:%227b8225-69f-45c3d4009ff00%22	http://www.geomundus.org/templates/ja_purity/js/ja.rightcol.js	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/js/ja.rightcol.js	(from )
13:06:02	1640/1640	---M--	200	added ('OK')	text/css	etag:%227b821d-668-44ec100ce0900%22	http://www.geomundus.org/templates/ja_purity/css/menu.css	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/css/menu.css	(from )
13:06:03	8123/8123	---M--	200	added ('OK')	text/css	etag:%227b821a-1fbb-455a8761818c0%22	http://www.geomundus.org/templates/ja_purity/css/ja-sosdmenu.css	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/css/ja-sosdmenu.css	(from )
13:06:03	578/578	---M--	200	added ('OK')	application/javascript	etag:%227b8226-242-44ec166407e80%22	http://www.geomundus.org/templates/ja_purity/js/ja.cssmenu.js	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/js/ja.cssmenu.js	(from )
13:06:03	2120/2120	---M--	200	added ('OK')	text/css	etag:%227b823e-848-455208d132840%22	http://www.geomundus.org/templates/ja_purity/styles/header/blue/style.css	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/styles/header/blue/style.css	(from )
13:06:04	7013/7013	---M--	200	added ('OK')	text/css	etag:%227b82b7-1b65-44ec100ce0900%22	http://www.geomundus.org/templates/ja_purity/styles/background/lighter/style.css	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/styles/background/lighter/style.css	(from )
13:06:04	533/533	---M--	200	added ('OK')	text/css	etag:%227b82cd-215-44ec100ce0900%22	http://www.geomundus.org/templates/ja_purity/styles/elements/blue/style.css	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/styles/elements/blue/style.css	(from )
13:06:05	28184/28184	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:05%20GMT	http://www.geomundus.org/index.php	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index-3.html	(from )
13:06:05	247/247	---M--	200	added ('OK')	image/png	etag:%227b8187-f7-44cc7cd18cc80%22	http://www.geomundus.org/templates/ja_purity/images/user-increase.png	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/images/user-increase.png	(from )
13:06:05	210/210	---M--	200	added ('OK')	image/png	etag:%227b81c8-d2-44cc7cd18cc80%22	http://www.geomundus.org/templates/ja_purity/images/user-reset.png	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/images/user-reset.png	(from )
13:06:06	198/198	---M--	200	added ('OK')	image/png	etag:%227b8197-c6-44cc7cd18cc80%22	http://www.geomundus.org/templates/ja_purity/images/user-decrease.png	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/templates/ja_purity/images/user-decrease.png	(from )
13:06:06	1386/1386	---M-Z	403	error ('Forbidden')	text/html	date:Wed,%2005%20Jun%202013%2011:06:06%20GMT	http://www.geomundus.org/index.php/home/registration	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/home/registration	(from )
13:06:07	22069/22069	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:07%20GMT	http://www.geomundus.org/index.php/home/contact	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/home/contact.html	(from )
13:06:07	22182/22182	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202013%2011:06:07%20GMT	http://www.geomundus.org/index.php/previous-editions	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/index.php/previous-editions.html	(from )
13:06:08	74434/74434	---M--	200	added ('OK')	application/javascript	etag:%22124006-122c2-476a87cd8aa00%22	http://www.geomundus.org/media/system/js/mootools.js	C:/Users/c_kisf01/Documents/Gis-Web%20Backups/Geomundus/Joomla%202012/Geomundus%20Joomla%202012/media/system/js/mootools.js	(from )
